assists,bountyLevel,champExperience,champLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,goldEarned,goldSpent,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
13,0,9335,12,3,286,286,286,8800,5,1,0,6836,6325,0,0,0,0,0,555,10855,4046,4140,0,0,2580,337,7926,0,0,91,59,33,6,42,1750,13436,4384,1156,12510,23078,18577,11,179,137,5,0,0,0,443,50,1,2,27,FALSE,NA1_4430733034
18,0,10581,13,4,515,6550,515,7882,1,2,0,7199,6400,0,0,0,0,0,1592,15596,4766,5930,0,0,3132,674,6520,0,0,90,55,25,6,36,1632,23369,5630,1066,12898,24247,17047,16,196,0,5,0,4641,189,448,45,2,6,21,FALSE,NA1_4430708927
10,1,9881,12,5,2350,4556,2350,4067,1,2,0,7460,6925,0,2,0,0,1,794,56004,9164,4697,8,0,14906,1128,1407,0,0,28,31,148,8,26,1357,71550,10930,3426,6105,65,0,118,303,30,1,0,638,638,0,11,3,0,6,TRUE,NA1_4430696272
15,1,9618,12,5,1469,3407,1469,5184,3,3,0,7527,5625,0,2,0,0,1,706,13365,4158,4744,0,0,4659,1286,4865,0,0,81,53,25,6,35,1469,18025,5445,981,9807,17603,13436,7,181,77,5,0,0,0,196,50,3,2,23,TRUE,NA1_4430357738
14,0,8737,12,6,267,4022,267,7421,6,3,0,6599,5635,0,0,0,0,0,470,21331,6499,5509,0,0,2757,1174,8927,0,0,63,45,90,6,30,1594,27799,7673,4636,15087,4981,3998,23,196,132,5,0,3710,0,650,48,4,4,26,FALSE,NA1_4430322389
9,0,10496,13,9,440,2776,440,6815,4,6,0,6860,6625,0,0,0,0,0,595,17484,4559,6468,0,0,4431,845,6215,0,0,86,65,39,8,35,1912,27882,5717,1072,13513,30121,22815,19,219,100,5,0,5966,311,829,51,7,1,28,FALSE,NA1_4430296500
28,0,13717,15,9,1077,1641,1077,8032,5,4,0,9162,8575,0,1,0,0,1,716,9145,3781,4740,0,0,2985,1244,5886,0,0,75,112,26,8,28,1958,12365,5260,1875,11375,36292,29536,10,128,148,6,0,233,233,749,68,4,3,30,TRUE,NA1_4430094956
4,0,7111,10,8,125,125,125,5833,6,5,0,5387,4800,0,1,0,0,1,395,6733,2110,5719,0,0,2527,830,3446,0,0,52,45,18,4,14,1405,9260,2941,962,9616,11813,10263,19,115,113,5,0,0,0,450,46,6,8,20,FALSE,NA1_4430019541
13,0,9325,12,7,768,1972,768,3914,3,5,0,7612,6625,0,1,0,0,1,740,7289,2314,2033,0,0,2338,436,5293,0,0,68,58,27,6,30,1639,9755,2863,1025,7453,20685,17358,10,153,59,5,0,128,112,126,64,5,7,26,TRUE,NA1_4429861622
18,0,11565,14,7,572,572,572,5431,4,3,0,7858,7425,0,1,0,0,1,538,10825,3309,4726,0,0,2618,890,5160,0,0,109,32,62,8,43,1844,14746,5503,6252,10360,7439,6152,16,241,86,8,0,1302,1302,474,71,5,7,31,FALSE,NA1_4429708422
